DATE,avg_station_max,overall_max
2020-01-01,20.49,21.95
2020-01-02,18.61,20.6
2020-01-03,21.68,23.9
2020-01-04,19.94,21.7
2020-01-05,19.83,22.2
2020-01-06,24.83,26.7
2020-01-07,24.41,26.1
2020-01-08,18.55,20.6
2020-01-09,15.67,17.2
2020-01-10,17.96,18.9
2020-01-11,16.46,18.3
2020-01-12,16.48,18.3
2020-01-13,16.44,18.3
2020-01-14,16.39,17.8
2020-01-15,17.22,19.4
2020-01-16,15.26,16.7
2020-01-17,16.09,17.8
2020-01-18,21.17,22.8
2020-01-19,23.59,25.0
2020-01-20,18.18,19.4
2020-01-21,16.14,18.3
2020-01-22,17.12,18.9
2020-01-23,21.89,25.0
2020-01-24,21.49,25.6
2020-01-25,19.47,23.9
2020-01-26,16.37,19.4
2020-01-27,20.72,23.3
2020-01-28,23.01,25.0
2020-01-29,23.34,25.6
2020-01-30,23.25,24.7
2020-01-31,25.78,28.3
2020-02-01,26.75,30.0
2020-02-02,23.07,26.1
2020-02-03,16.55,18.3
2020-02-04,15.31,16.7
2020-02-05,15.73,17.2
2020-02-06,17.26,18.95
2020-02-07,18.58,21.7
2020-02-08,18.64,21.1
2020-02-09,15.8,16.7
2020-02-10,22.03,23.3
2020-02-11,22.71,23.9
2020-02-12,18.86,21.1
2020-02-13,19.09,21.1
2020-02-14,19.07,21.7
2020-02-15,18.74,21.1
2020-02-16,19.23,22.8
2020-02-17,19.11,22.2
2020-02-18,19.8,23.9
2020-02-19,19.04,21.7
2020-02-20,24.16,27.2
2020-02-21,23.93,26.1
2020-02-22,19.11,22.2
2020-02-23,17.72,19.4
2020-02-24,19.88,23.9
2020-02-25,25.66,28.9
2020-02-26,25.99,28.3
2020-02-27,28.19,30.6
2020-02-28,29.34,31.1
2020-02-29,23.87,25.0
2020-03-01,17.5,20.0
2020-03-02,22.2,23.9
2020-03-03,25.58,27.5
2020-03-04,21.97,24.4
2020-03-05,22.09,27.2
2020-03-06,20.28,24.4
2020-03-07,17.56,19.4
2020-03-08,17.43,19.4
2020-03-09,21.57,23.3
2020-03-10,20.62,22.8
2020-03-11,20.51,23.3
2020-03-12,18.97,20.6
2020-03-13,14.09,15.77
2020-03-14,15.11,17.8
2020-03-15,16.83,19.4
2020-03-16,16.02,18.3
2020-03-17,14.59,17.8
2020-03-18,16.58,17.8
2020-03-19,15.95,17.8
2020-03-20,16.93,18.9
2020-03-21,18.04,20.0
2020-03-22,19.69,22.2
2020-03-23,17.12,19.4
2020-03-24,17.17,18.9
2020-03-25,16.62,18.9
2020-03-26,15.79,17.2
2020-03-27,17.52,19.4
2020-03-28,17.48,19.4
2020-03-29,17.94,20.0
2020-03-30,21.32,24.4
2020-03-31,22.83,26.1
2020-04-01,21.02,23.3
2020-04-02,19.46,21.7
2020-04-03,19.1,21.1
2020-04-04,18.85,21.1
2020-04-05,17.12,18.3
2020-04-06,15.91,17.8
2020-04-07,17.61,18.9
2020-04-08,15.31,17.2
2020-04-09,14.24,15.6
2020-04-10,17.3,18.9
2020-04-11,19.53,22.8
2020-04-12,17.73,20.0
2020-04-13,17.68,19.75
2020-04-14,22.18,27.2
2020-04-15,25.62,28.3
2020-04-16,22.93,25.6
2020-04-17,18.56,20.6
2020-04-18,18.09,20.0
2020-04-19,18.69,20.6
2020-04-20,18.83,20.6
2020-04-21,21.21,26.1
2020-04-22,25.89,33.3
2020-04-23,29.88,34.4
2020-04-24,31.29,37.8
2020-04-25,30.17,35.6
2020-04-26,26.37,32.8
2020-04-27,24.48,31.1
2020-04-28,25.06,32.8
2020-04-29,22.92,29.4
2020-04-30,23.42,33.5
2020-05-01,23.72,32.2
2020-05-02,23.96,28.3
2020-05-03,22.82,27.8
2020-05-04,25.9,32.2
2020-05-05,29.4,35.6
2020-05-06,30.93,36.7
2020-05-07,30.91,36.1
2020-05-08,26.61,32.8
2020-05-09,23.79,30.0
2020-05-10,22.65,26.7
2020-05-11,21.72,25.0
2020-05-12,21.33,23.9
2020-05-13,21.61,23.9
2020-05-14,23.54,27.8
2020-05-15,24.03,27.8
2020-05-16,25.02,30.0
2020-05-17,24.15,27.8
2020-05-18,22.04,25.6
2020-05-19,20.63,22.8
2020-05-20,21.99,25.6
2020-05-21,25.73,31.7
2020-05-22,24.56,28.9
2020-05-23,21.8,25.0
2020-05-24,23.82,30.0
2020-05-25,24.5,31.1
2020-05-26,25.88,36.7
2020-05-27,24.66,34.4
2020-05-28,23.04,31.1
2020-05-29,21.31,26.1
2020-05-30,23.08,26.7
2020-05-31,23.42,28.3
2020-06-01,26.26,31.7
2020-06-02,26.0,32.2
2020-06-03,29.63,39.4
2020-06-04,26.76,37.8
2020-06-05,21.74,24.4
2020-06-06,21.28,23.3
2020-06-07,23.68,27.2
