DATE,avg_station_max,overall_max
2020-06-08,29.72,32.8
2020-06-09,33.66,37.2
2020-06-10,32.87,37.2
2020-06-11,30.12,35.6
2020-06-12,25.38,33.3
2020-06-13,23.34,27.2
2020-06-14,24.07,27.8
2020-06-15,24.56,29.4
2020-06-16,22.66,27.2
2020-06-17,22.85,25.6
2020-06-18,21.78,24.4
2020-06-19,22.68,27.2
2020-06-20,22.52,27.8
2020-06-21,23.34,28.3
2020-06-22,24.87,30.6
2020-06-23,24.6,31.1
2020-06-24,23.93,31.1
2020-06-25,23.82,30.0
2020-06-26,24.66,32.2
2020-06-27,23.91,30.0
2020-06-28,22.0,26.7
2020-06-29,22.39,25.0
2020-06-30,23.39,28.3
2020-07-01,22.73,27.2
2020-07-02,24.66,29.4
2020-07-03,26.44,33.9
2020-07-04,27.82,35.6
2020-07-05,29.7,35.6
2020-07-06,28.54,35.6
2020-07-07,27.01,33.9
2020-07-08,26.26,32.2
2020-07-09,26.23,32.8
2020-07-10,28.78,37.2
2020-07-11,31.21,40.6
2020-07-12,30.64,38.3
2020-07-13,28.37,33.9
2020-07-14,26.23,30.6
2020-07-15,25.55,30.0
2020-07-16,25.49,30.6
2020-07-17,25.18,31.1
2020-07-18,25.62,32.8
2020-07-19,25.14,33.9
2020-07-20,24.48,31.1
2020-07-21,25.35,32.2
2020-07-22,23.13,30.0
2020-07-23,23.42,28.3
2020-07-24,24.11,28.9
2020-07-25,24.96,31.7
2020-07-26,25.11,35.0
2020-07-27,24.3,33.9
2020-07-28,23.94,31.7
2020-07-29,24.83,33.3
2020-07-30,26.78,38.3
2020-07-31,29.7,39.4
2020-08-01,29.72,38.3
2020-08-02,27.24,34.4
2020-08-03,25.89,34.4
2020-08-04,24.91,31.1
2020-08-05,24.04,27.8
2020-08-06,24.27,27.8
2020-08-07,25.09,30.0
2020-08-08,25.58,32.8
2020-08-09,25.43,33.3
2020-08-10,25.5,34.4
2020-08-11,24.62,33.3
2020-08-12,27.64,37.8
2020-08-13,31.16,38.9
2020-08-14,32.01,40.6
2020-08-15,33.23,41.7
2020-08-16,33.29,39.4
2020-08-17,30.08,38.3
2020-08-18,34.88,43.9
2020-08-19,32.71,40.0
2020-08-20,32.23,39.4
2020-08-21,30.33,37.2
2020-08-22,32.37,36.7
2020-08-23,30.5,35.0
2020-08-24,28.58,35.6
2020-08-25,28.8,37.8
2020-08-26,28.97,37.2
2020-08-27,30.39,38.9
2020-08-28,27.8,36.7
2020-08-29,25.48,32.8
2020-08-30,24.84,31.1
2020-08-31,24.38,30.0
2020-09-01,24.87,30.6
2020-09-02,25.32,32.2
2020-09-03,26.67,33.9
2020-09-04,29.73,39.4
2020-09-05,35.82,46.1
2020-09-06,39.81,47.8
2020-09-07,35.44,43.9
2020-09-08,26.26,30.6
2020-09-09,27.61,33.9
2020-09-10,25.57,30.0
2020-09-11,27.81,33.9
2020-09-12,27.09,33.3
2020-09-13,27.48,35.0
2020-09-14,28.51,36.1
2020-09-15,29.1,36.1
2020-09-16,31.68,38.3
2020-09-17,31.48,37.2
2020-09-18,32.28,37.8
2020-09-19,28.76,35.0
2020-09-20,26.08,31.7
2020-09-21,25.59,32.2
2020-09-22,26.51,33.3
2020-09-23,27.58,34.4
2020-09-24,28.03,33.3
2020-09-25,25.59,31.1
2020-09-26,25.81,31.1
2020-09-27,25.66,32.2
2020-09-28,29.03,38.3
2020-09-29,32.24,40.6
2020-09-30,36.46,42.2
2020-10-01,35.38,41.1
2020-10-02,34.12,39.4
2020-10-03,31.91,37.8
2020-10-04,31.41,36.1
2020-10-05,29.97,35.0
2020-10-06,29.58,35.0
2020-10-07,25.88,31.7
2020-10-08,24.06,27.2
2020-10-09,23.16,25.6
2020-10-10,23.48,25.6
2020-10-11,24.19,27.2
2020-10-12,31.04,37.8
2020-10-13,32.58,37.2
2020-10-14,31.87,37.2
2020-10-15,31.74,37.8
2020-10-16,30.44,38.3
2020-10-17,28.41,36.1
2020-10-18,26.0,31.1
2020-10-19,24.88,29.4
2020-10-20,24.27,29.4
2020-10-21,22.8,26.7
2020-10-22,21.73,23.9
2020-10-23,21.37,23.9
2020-10-24,20.84,22.8
2020-10-25,20.07,21.7
2020-10-26,22.98,24.4
2020-10-27,25.06,27.8
2020-10-28,23.6,26.7
2020-10-29,26.42,32.2
2020-10-30,26.12,31.7
2020-10-31,26.13,32.8
2020-11-01,27.31,31.7
2020-11-02,24.28,30.0
2020-11-03,23.66,27.8
2020-11-04,26.71,34.4
2020-11-05,31.46,34.4
2020-11-06,26.46,30.6
2020-11-07,18.89,20.57
2020-11-08,15.94,17.8
2020-11-09,16.41,17.8
2020-11-10,18.29,21.1
2020-11-11,18.82,21.1
2020-11-12,20.39,23.3
2020-11-13,18.59,21.1
2020-11-14,20.29,24.4
2020-11-15,27.57,31.7
2020-11-16,32.22,34.4
2020-11-17,25.39,27.8
2020-11-18,19.01,21.7
2020-11-19,19.52,23.9
2020-11-20,21.96,26.7
2020-11-21,23.23,27.2
2020-11-22,21.18,25.6
2020-11-23,17.73,20.6
2020-11-24,19.53,22.2
2020-11-25,18.37,20.6
2020-11-26,19.73,22.8
2020-11-27,20.19,23.3
2020-11-28,22.52,25.6
2020-11-29,23.81,26.1
2020-11-30,24.43,27.8
2020-12-01,23.71,26.7
2020-12-02,24.91,26.7
2020-12-03,23.13,25.0
2020-12-04,23.21,25.0
2020-12-05,21.86,24.4
2020-12-06,21.96,25.6
2020-12-07,24.17,26.1
2020-12-08,27.28,29.4
2020-12-09,24.19,26.3
2020-12-10,19.06,22.2
2020-12-11,16.66,17.8
2020-12-12,18.31,20.6
2020-12-13,20.71,22.2
2020-12-14,18.63,20.6
2020-12-15,20.04,22.2
2020-12-16,21.72,24.4
2020-12-17,17.68,20.0
2020-12-18,19.2,22.8
2020-12-19,21.44,23.9
2020-12-20,25.37,28.9
2020-12-21,26.69,30.0
2020-12-22,21.31,24.4
2020-12-23,20.17,23.3
2020-12-24,18.93,21.1
2020-12-25,22.6,25.0
2020-12-26,19.27,21.7
2020-12-27,18.17,20.6
2020-12-28,14.54,15.0
2020-12-29,17.39,18.3
2020-12-30,19.91,21.7
2020-12-31,19.61,20.6
