DATE,avg_station_max,overall_max
2022-01-01,16.38,17.8
2022-01-02,18.5,20.0
2022-01-03,16.83,19.4
2022-01-04,16.74,19.4
2022-01-05,19.39,23.9
2022-01-06,20.54,25.6
2022-01-07,16.25,21.7
2022-01-08,16.64,18.3
2022-01-09,23.29,25.0
2022-01-10,23.0,24.4
2022-01-11,25.83,27.2
2022-01-12,25.29,27.2
2022-01-13,21.12,23.35
2022-01-14,22.53,26.1
2022-01-15,20.69,22.2
2022-01-16,23.0,24.4
2022-01-17,19.46,21.1
2022-01-18,17.6,18.3
2022-01-19,17.25,18.7
2022-01-20,23.63,25.6
2022-01-21,20.52,23.9
2022-01-22,22.0,23.3
2022-01-23,23.02,24.4
2022-01-24,20.96,22.8
2022-01-25,18.43,20.6
2022-01-26,20.95,23.3
2022-01-27,20.98,22.2
2022-01-28,22.93,23.9
2022-01-29,21.03,22.2
2022-01-30,20.66,23.9
2022-01-31,17.0,18.3
2022-02-01,16.79,17.3
2022-02-02,18.46,19.4
2022-02-03,18.59,20.0
2022-02-04,20.42,22.2
2022-02-05,21.6,23.9
2022-02-06,24.02,27.8
2022-02-07,25.26,27.4
2022-02-08,26.01,28.3
2022-02-09,29.05,31.1
2022-02-10,28.98,31.1
2022-02-11,27.57,32.2
2022-02-12,30.91,32.2
2022-02-13,28.92,31.7
2022-02-14,24.68,27.8
2022-02-15,17.66,21.7
2022-02-16,17.37,18.9
2022-02-17,21.1,23.3
2022-02-18,21.72,24.4
2022-02-19,22.27,26.1
2022-02-20,18.76,23.3
2022-02-21,15.41,16.2
2022-02-22,15.03,16.2
2022-02-23,13.4,15.2
2022-02-24,15.83,17.1
2022-02-25,17.32,18.9
2022-02-26,20.23,22.3
2022-02-27,23.6,26.1
2022-02-28,27.15,30.0
2022-03-01,27.97,32.2
2022-03-02,25.53,29.4
2022-03-03,21.02,25.0
2022-03-04,16.83,17.8
2022-03-05,16.0,17.2
2022-03-06,15.93,16.7
2022-03-07,20.29,22.8
2022-03-08,20.97,23.3
2022-03-09,19.14,21.1
2022-03-10,18.74,23.3
2022-03-11,22.13,25.0
2022-03-12,23.47,26.1
2022-03-13,20.72,25.0
2022-03-14,22.22,27.8
2022-03-15,22.09,27.8
2022-03-16,24.2,27.8
2022-03-17,26.96,28.9
2022-03-18,24.16,27.2
2022-03-19,21.98,26.1
2022-03-20,22.1,23.3
2022-03-21,23.06,28.9
2022-03-22,27.62,31.1
2022-03-23,29.14,30.6
2022-03-24,26.84,31.7
2022-03-25,23.66,32.2
2022-03-26,21.62,28.9
2022-03-27,19.59,23.9
2022-03-28,16.48,18.05
2022-03-29,18.43,21.7
2022-03-30,19.28,22.2
2022-03-31,17.44,18.9
2022-04-01,19.74,22.8
2022-04-02,18.39,20.6
2022-04-03,18.9,20.7
2022-04-04,19.53,23.9
2022-04-05,23.78,31.1
2022-04-06,28.17,36.1
2022-04-07,35.16,37.9
2022-04-08,35.58,38.3
2022-04-09,31.49,35.0
2022-04-10,21.86,26.7
2022-04-11,19.31,21.1
2022-04-12,19.81,22.2
2022-04-13,20.1,22.8
2022-04-14,19.69,22.8
2022-04-15,20.6,23.9
2022-04-16,19.48,21.1
2022-04-17,20.47,25.0
2022-04-18,22.01,26.7
2022-04-19,21.01,24.4
2022-04-20,19.67,22.8
2022-04-21,19.57,22.2
2022-04-22,18.24,19.9
2022-04-23,22.3,27.2
2022-04-24,29.12,31.1
2022-04-25,29.53,31.7
2022-04-26,26.13,30.0
2022-04-27,21.34,25.0
2022-04-28,18.94,21.1
2022-04-29,21.0,25.6
2022-04-30,23.03,28.9
2022-05-01,21.88,27.2
2022-05-02,20.79,24.4
2022-05-03,20.3,23.3
2022-05-04,23.94,33.3
2022-05-05,23.44,30.0
2022-05-06,23.52,29.4
2022-05-07,22.03,26.1
2022-05-08,19.94,22.2
2022-05-09,19.43,21.1
2022-05-10,19.95,22.0
2022-05-11,19.95,22.8
2022-05-12,26.07,30.6
2022-05-13,28.93,34.4
2022-05-14,29.99,35.6
2022-05-15,28.55,33.9
2022-05-16,22.52,30.0
