DATE,avg_station_max,overall_max
2023-01-01,16.06,17.2
2023-01-02,14.35,15.3
2023-01-03,14.42,15.6
2023-01-04,16.19,16.98
2023-01-05,17.05,18.3
2023-01-06,17.39,20.0
2023-01-07,19.01,20.6
2023-01-08,18.03,20.6
2023-01-09,16.18,17.2
2023-01-10,16.07,17.46
2023-01-11,16.3,17.2
2023-01-12,21.3,23.9
2023-01-13,19.72,21.7
2023-01-14,16.27,17.8
2023-01-15,15.36,16.7
2023-01-16,14.99,16.1
2023-01-17,15.08,16.7
2023-01-18,15.74,17.2
2023-01-19,14.42,15.6
2023-01-20,15.56,17.8
2023-01-21,17.56,18.9
2023-01-22,16.56,18.9
2023-01-23,19.07,21.1
2023-01-24,18.88,22.2
2023-01-25,21.33,24.4
2023-01-26,20.71,23.5
2023-01-27,19.64,22.2
2023-01-28,17.12,18.6
2023-01-29,14.91,16.1
2023-01-30,14.93,16.7
2023-01-31,18.88,20.6
2023-02-01,19.66,22.2
2023-02-02,19.63,22.2
2023-02-03,20.71,23.9
2023-02-04,20.29,23.9
2023-02-05,18.2,21.1
2023-02-06,20.91,23.3
2023-02-07,21.54,23.9
2023-02-08,22.18,25.6
2023-02-09,25.91,28.9
2023-02-10,24.75,26.7
2023-02-11,20.29,22.8
2023-02-12,15.0,17.2
2023-02-13,16.18,17.2
2023-02-14,15.02,16.1
2023-02-15,16.85,17.8
2023-02-16,17.27,20.0
2023-02-17,19.46,21.4
2023-02-18,19.34,21.1
2023-02-19,18.49,21.7
2023-02-20,21.37,25.0
2023-02-21,18.57,21.7
2023-02-22,13.99,15.4
2023-02-23,11.64,12.8
2023-02-24,12.21,13.3
2023-02-25,12.9,14.4
2023-02-26,12.32,13.9
2023-02-27,11.94,13.03
2023-02-28,14.44,16.7
2023-03-01,13.05,14.7
2023-03-02,15.84,18.3
2023-03-03,15.9,18.3
2023-03-04,14.99,16.1
2023-03-05,14.12,15.8
2023-03-06,15.39,17.2
2023-03-07,15.84,17.8
2023-03-08,15.28,17.2
2023-03-09,18.66,21.7
2023-03-10,16.09,19.15
2023-03-11,17.45,18.95
2023-03-12,17.68,20.6
2023-03-13,18.16,21.1
2023-03-14,16.6,20.0
2023-03-15,16.06,18.9
2023-03-16,15.89,17.8
2023-03-17,19.01,22.2
2023-03-18,23.53,25.0
2023-03-19,20.27,22.8
2023-03-20,16.14,18.3
2023-03-21,15.82,17.8
2023-03-22,14.63,16.7
2023-03-23,15.82,17.8
2023-03-24,18.36,21.1
2023-03-25,18.14,20.0
2023-03-26,18.7,20.6
2023-03-27,22.42,24.4
2023-03-28,20.44,23.3
2023-03-29,16.92,21.1
2023-03-30,14.98,17.8
2023-03-31,17.35,20.6
2023-04-01,19.18,23.9
2023-04-02,18.66,22.2
2023-04-03,17.4,20.0
2023-04-04,16.76,19.5
2023-04-05,19.15,22.2
2023-04-06,22.67,26.7
2023-04-07,20.64,23.3
2023-04-08,19.71,22.8
2023-04-09,21.04,30.0
2023-04-10,21.26,30.0
2023-04-11,19.16,27.2
2023-04-12,17.12,22.8
2023-04-13,15.28,17.2
2023-04-14,17.09,18.9
2023-04-15,20.11,24.4
2023-04-16,18.3,23.3
2023-04-17,17.86,20.6
2023-04-18,17.74,20.0
2023-04-19,20.09,23.9
2023-04-20,25.54,29.4
2023-04-21,28.98,32.8
2023-04-22,27.43,31.7
