DATE,avg_station_max,overall_max
2023-04-23,23.38,29.4
2023-04-24,20.04,24.4
2023-04-25,20.03,24.4
2023-04-26,22.75,32.8
2023-04-27,20.77,30.0
2023-04-28,20.54,28.3
2023-04-29,21.61,32.2
2023-04-30,19.08,25.6
2023-05-01,17.82,19.4
2023-05-02,17.38,18.9
2023-05-03,17.32,18.9
2023-05-04,17.08,18.9
2023-05-05,18.27,20.6
2023-05-06,19.22,21.1
2023-05-07,19.97,22.8
2023-05-08,20.18,23.9
2023-05-09,19.46,22.8
2023-05-10,18.98,21.7
2023-05-11,19.76,22.9
2023-05-12,21.36,27.2
2023-05-13,21.78,30.0
2023-05-14,22.66,30.6
2023-05-15,20.63,27.2
2023-05-16,21.72,28.9
2023-05-17,21.44,32.2
2023-05-18,21.26,26.1
2023-05-19,19.61,23.3
2023-05-20,21.58,27.8
2023-05-21,21.88,29.4
2023-05-22,20.49,26.1
2023-05-23,18.45,22.2
2023-05-24,18.99,21.1
2023-05-25,18.96,20.6
2023-05-26,19.21,21.7
2023-05-27,20.3,23.9
2023-05-28,18.88,21.1
2023-05-29,20.29,22.8
2023-05-30,19.23,20.6
2023-05-31,19.02,20.6
2023-06-01,19.02,20.75
2023-06-02,21.37,25.0
2023-06-03,21.57,26.1
2023-06-04,21.2,27.2
2023-06-05,19.7,23.9
2023-06-06,18.93,21.1
2023-06-07,20.15,21.7
2023-06-08,21.38,24.4
2023-06-09,20.45,22.8
2023-06-10,19.77,22.2
2023-06-11,19.83,21.8
2023-06-12,20.51,22.3
2023-06-13,21.22,23.9
2023-06-14,19.85,22.2
2023-06-15,20.48,22.25
2023-06-16,23.15,27.2
2023-06-17,24.5,31.1
2023-06-18,22.62,29.4
2023-06-19,21.5,23.9
2023-06-20,23.42,27.8
2023-06-21,24.19,28.9
2023-06-22,22.88,26.7
2023-06-23,22.57,25.6
2023-06-24,23.03,28.3
2023-06-25,22.93,27.2
2023-06-26,22.77,28.3
2023-06-27,23.22,29.4
2023-06-28,22.73,27.8
2023-06-29,23.71,30.0
2023-06-30,24.48,33.3
2023-07-01,24.89,35.6
2023-07-02,25.11,34.4
2023-07-03,24.22,33.3
2023-07-04,24.1,31.7
2023-07-05,24.65,32.2
2023-07-06,23.5,30.6
2023-07-07,23.1,28.3
2023-07-08,23.76,28.9
2023-07-09,24.42,30.6
2023-07-10,26.54,34.4
2023-07-11,27.28,36.1
2023-07-12,29.57,35.6
2023-07-13,29.48,36.7
2023-07-14,29.37,37.8
2023-07-15,27.6,37.2
2023-07-16,26.68,36.1
2023-07-17,28.88,37.2
2023-07-18,29.15,37.2
2023-07-19,29.58,37.8
2023-07-20,29.69,38.3
2023-07-21,27.44,36.1
2023-07-22,26.7,36.7
2023-07-23,28.94,36.1
2023-07-24,28.85,38.9
2023-07-25,30.16,39.4
2023-07-26,31.88,39.4
2023-07-27,31.0,38.9
2023-07-28,28.6,37.2
2023-07-29,29.8,37.8
2023-07-30,29.37,36.1
2023-07-31,31.01,36.1
2023-08-01,29.84,36.1
2023-08-02,28.72,34.4
2023-08-03,27.34,32.8
2023-08-04,26.94,32.8
2023-08-05,28.36,35.6
2023-08-06,28.32,37.2
2023-08-07,27.8,33.3
2023-08-08,28.11,32.2
2023-08-09,25.99,30.0
2023-08-10,25.68,28.3
2023-08-11,25.57,30.0
2023-08-12,26.26,31.7
2023-08-13,26.71,33.3
2023-08-14,27.34,36.7
2023-08-15,28.06,38.9
2023-08-16,29.32,40.0
2023-08-17,28.04,38.3
2023-08-18,27.57,36.1
2023-08-19,26.36,32.8
2023-08-20,25.38,27.2
2023-08-21,25.95,28.3
2023-08-22,27.31,32.8
2023-08-23,28.31,36.1
2023-08-24,26.16,32.8
2023-08-25,26.57,35.0
2023-08-26,28.55,36.7
2023-08-27,30.92,39.4
2023-08-28,32.68,41.1
2023-08-29,32.36,38.9
2023-08-30,31.42,36.7
2023-08-31,27.49,33.3
2023-09-01,26.67,30.0
2023-09-02,25.25,27.8
2023-09-03,25.66,27.8
2023-09-04,24.52,26.7
2023-09-05,23.43,25.6
2023-09-06,26.25,29.4
2023-09-07,26.59,30.6
2023-09-08,31.16,36.1
2023-09-09,31.13,37.2
2023-09-10,32.34,37.2
2023-09-11,30.22,35.0
2023-09-12,26.21,30.0
2023-09-13,24.72,28.3
2023-09-14,24.0,27.2
2023-09-15,24.18,27.8
2023-09-16,21.96,25.0
2023-09-17,22.37,23.9
2023-09-18,23.87,26.1
2023-09-19,23.93,27.2
2023-09-20,23.27,25.0
2023-09-21,22.28,24.15
2023-09-22,22.72,25.0
2023-09-23,23.78,28.3
2023-09-24,24.94,30.0
2023-09-25,24.34,30.6
2023-09-26,26.2,32.2
2023-09-27,25.78,31.1
2023-09-28,24.32,28.9
2023-09-29,21.81,23.9
2023-09-30,20.86,22.2
2023-10-01,20.39,21.7
2023-10-02,21.81,25.0
2023-10-03,26.39,30.6
2023-10-04,30.18,35.0
2023-10-05,32.65,37.2
2023-10-06,30.51,37.8
2023-10-07,29.76,37.2
2023-10-08,26.93,36.1
2023-10-09,24.19,32.8
2023-10-10,22.94,25.6
2023-10-11,23.41,26.7
2023-10-12,25.9,31.1
2023-10-13,24.91,29.4
2023-10-14,25.9,30.6
2023-10-15,28.99,36.1
2023-10-16,27.32,35.0
2023-10-17,25.26,32.2
2023-10-18,25.61,37.8
2023-10-19,27.15,36.7
2023-10-20,28.96,37.2
2023-10-21,27.93,32.8
2023-10-22,23.4,28.3
2023-10-23,22.71,23.9
2023-10-24,23.15,26.1
2023-10-25,21.52,22.8
2023-10-26,21.95,24.4
2023-10-27,21.96,24.4
2023-10-28,21.9,26.1
2023-10-29,26.27,28.0
2023-10-30,27.17,28.9
2023-10-31,29.36,32.2
2023-11-01,29.51,31.7
2023-11-02,27.36,30.6
2023-11-03,26.28,31.7
2023-11-04,24.42,30.0
2023-11-05,25.25,31.1
2023-11-06,22.98,27.8
2023-11-07,21.26,22.8
2023-11-08,25.04,26.1
2023-11-09,25.93,27.2
2023-11-10,24.34,26.1
2023-11-11,26.12,30.0
2023-11-12,28.31,30.6
2023-11-13,24.02,26.7
2023-11-14,25.26,27.8
2023-11-15,21.54,23.6
2023-11-16,22.37,23.62
2023-11-17,22.34,23.9
2023-11-18,20.49,22.2
2023-11-19,22.12,23.9
2023-11-20,23.84,26.1
2023-11-21,27.51,29.4
2023-11-22,27.49,28.9
2023-11-23,22.37,24.2
2023-11-24,20.51,21.7
2023-11-25,20.28,22.2
2023-11-26,21.34,22.3
2023-11-27,22.33,23.4
2023-11-28,21.47,23.3
2023-11-29,18.43,19.4
2023-11-30,18.57,20.0
2023-12-01,19.54,21.1
2023-12-02,18.98,20.6
2023-12-03,19.78,22.2
2023-12-04,23.23,27.8
2023-12-05,27.33,29.4
2023-12-06,22.87,26.1
2023-12-07,19.11,20.85
2023-12-08,20.13,21.7
2023-12-09,22.23,23.3
2023-12-10,24.02,25.6
2023-12-11,22.22,24.4
2023-12-12,19.23,21.1
2023-12-13,19.87,22.2
2023-12-14,23.43,25.6
2023-12-15,26.22,27.8
2023-12-16,25.86,27.4
2023-12-17,23.56,25.6
2023-12-18,22.41,23.9
2023-12-19,19.84,23.35
2023-12-20,18.08,19.6
2023-12-21,18.25,20.3
2023-12-22,19.33,20.6
2023-12-23,18.47,19.15
2023-12-24,18.58,19.6
2023-12-25,18.95,21.1
2023-12-26,19.26,21.1
2023-12-27,17.99,20.0
2023-12-28,18.4,20.0
2023-12-29,18.24,19.4
2023-12-30,17.07,18.5
2023-12-31,15.84,17.4
